town_code,town,district,region,population,website,email,source,status
505455,Rybany,Bánovce nad Bebravou,Trenčiansky kraj,1473,https://www.rybany.sk,obec@rybany.sk,guessed,ok
505544,Šípkov,Bánovce nad Bebravou,Trenčiansky kraj,145,https://www.sipkov.sk,obecsipkov@gmail.com,guessed,ok
505552,Šišov,Bánovce nad Bebravou,Trenčiansky kraj,509,https://www.sisov.sk,obec@sisov.sk,guessed,ok
505471,Slatina nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,443,https://www.slatinanadbebravou.sk,obecslatinanadbeb@amdsl.sk,xls,ok
505480,Slatinka nad Bebravou,Bánovce nad Bebravou,Trenčiansky kraj,192,https://www.slatinkanb.sk,ocu.slatinka.nb@mail.t-com.sk,xls,ok
505579,Timoradza,Bánovce nad Bebravou,Trenčiansky kraj,515,https://www.timoradza.sk,info@timoradza.sk,guessed,ok
505595,Trebichava,Bánovce nad Bebravou,Trenčiansky kraj,41,https://trebichava.sk,trebichava@trebichava.sk,guessed,ok
505625,Uhrovec,Bánovce nad Bebravou,Trenčiansky kraj,1501,https://www.uhrovec.sk,info@uhrovec.sk,guessed,ok
505633,Uhrovské Podhradie,Bánovce nad Bebravou,Trenčiansky kraj,35,,,none,no_website
505692,Veľké Chlievany,Bánovce nad Bebravou,Trenčiansky kraj,504,https://www.velkechlievany.com,obecchlievany@slovanet.sk,xls,ok
545651,Veľké Držkovce,Bánovce nad Bebravou,Trenčiansky kraj,660,https://www.velkedrzkovce.php5.sk,obecdrzkovce@azet.sk,xls,ok
505684,Veľké Hoste,Bánovce nad Bebravou,Trenčiansky kraj,566,https://www.velkehoste.sk,ocuvelkehoste@pbi.sk,xls,ok
505765,Vysočany,Bánovce nad Bebravou,Trenčiansky kraj,110,https://www.vysocany.sk,info@vysocany.sk,guessed,ok
505811,Žitná - Radiša,Bánovce nad Bebravou,Trenčiansky kraj,444,https://www.zitna-radisa.sk,info@zitna-radisa.sk,guessed,ok
505790,Zlatníky,Bánovce nad Bebravou,Trenčiansky kraj,686,https://www.zlatniky.sk,obec@zlatniky.sk,guessed,ok
508454,Badín,Banská Bystrica,Banskobystrický kraj,2037,https://www.obecbadin.sk,podatelna@obecbadin.sk,guessed,ok
508471,Baláže,Banská Bystrica,Banskobystrický kraj,220,https://www.balaze.sk,starosta@balaze.sk,guessed,ok
508438,Banská Bystrica,Banská Bystrica,Banskobystrický kraj,77902,https://www.banskabystrica.sk,primator@banskabystrica.sk,xls,ok
508675,Brusno,Banská Bystrica,Banskobystrický kraj,2178,https://www.brusno.sk,obec@brusno.sk,guessed,ok
508519,Čerín,Banská Bystrica,Banskobystrický kraj,445,https://www.cerin.sk,pavel.kmet@cerin.sk,guessed,ok
508543,Dolná Mičiná,Banská Bystrica,Banskobystrický kraj,438,https://www.dolnamicina.sk,info@dolnamicina.sk,xls,ok
508551,Dolný Harmanec,Banská Bystrica,Banskobystrický kraj,268,https://www.dolnyharmanec.sk,obec.dolnyharmanec@mail.t-com.sk,xls,ok
508560,Donovaly,Banská Bystrica,Banskobystrický kraj,258,https://www.donovaly.sk,obec@donovaly.sk,guessed,ok
508586,Dúbravica,Banská Bystrica,Banskobystrický kraj,422,https://dubravica.sk,obec@dubravica.sk,guessed,ok
508594,Harmanec,Banská Bystrica,Banskobystrický kraj,839,https://www.harmanec.sk,obec@harmanec.sk,guessed,ok
508616,Hiadeľ,Banská Bystrica,Banskobystrický kraj,522,https://www.hiadel.sk,urad@hiadel.sk,guessed,ok
508632,Horná Mičiná,Banská Bystrica,Banskobystrický kraj,634,https://www.hornamicina.eu,hornamicina@gmail.com,xls,ok
508641,Horné Pršany,Banská Bystrica,Banskobystrický kraj,398,https://www.horneprsany.sk,obechorneprsany@netlink.sk,xls,ok
508659,Hrochoť,Banská Bystrica,Banskobystrický kraj,1468,https://www.hrochot.sk,hrochot@hrochot.sk,guessed,ok
580236,Hronsek,Banská Bystrica,Banskobystrický kraj,662,https://www.hronsek.sk,obec@hronsek.sk,guessed,ok
508713,Kordíky,Banská Bystrica,Banskobystrický kraj,480,https://www.obeckordiky.sk,obeckordiky@obeckordiky.sk,guessed,ok
508721,Králiky,Banská Bystrica,Banskobystrický kraj,685,https://www.obeckraliky.sk,obec@obeckraliky.sk,guessed,ok
557277,Kynceľová,Banská Bystrica,Banskobystrický kraj,372,https://www.kyncelova.sk,starosta@kyncelova.sk,guessed,ok
508748,Ľubietová,Banská Bystrica,Banskobystrický kraj,1235,https://www.lubietova.sk,obec@lubietova.sk,guessed,ok
508756,Lučatín,Banská Bystrica,Banskobystrický kraj,668,https://www.lucatin.eu,obeclucatin@stonline.sk,xls,ok
580244,Malachov,Banská Bystrica,Banskobystrický kraj,1111,https://www.malachov.sk,starosta@malachov.sk,guessed,ok
508764,Medzibrod,Banská Bystrica,Banskobystrický kraj,1386,https://www.obecmedzibrod.sk,urad@obecmedzibrod.sk,guessed,ok
508781,Môlča,Banská Bystrica,Banskobystrický kraj,379,https://www.molca.sk,info@molca.sk,guessed,ok
508799,Moštenica,Banská Bystrica,Banskobystrický kraj,240,https://www.mostenica.sk,ocumostenica@orangemail.sk,guessed,ok
508802,Motyčky,Banská Bystrica,Banskobystrický kraj,107,https://www.motycky.sk,starosta@casta.sk,guessed,ok
557285,Nemce,Banská Bystrica,Banskobystrický kraj,1166,https://www.nemce.sk,obec@nemce.sk,guessed,ok
508837,Oravce,Banská Bystrica,Banskobystrický kraj,179,https://oravce.sk,info@oravce.sk,guessed,ok
508861,Podkonice,Banská Bystrica,Banskobystrický kraj,916,https://www.podkonice.sk,starosta@podkonice.sk,guessed,ok
508896,Pohronský Bukovec,Banská Bystrica,Banskobystrický kraj,118,,obec.pohronskybukovec@stonline.sk,none,no_website
508918,Poniky,Banská Bystrica,Banskobystrický kraj,1564,https://www.poniky.sk,poniky@poniky.sk,guessed,ok
508926,Povrazník,Banská Bystrica,Banskobystrický kraj,142,https://www.povraznik.sk/sk,povraznik@povraznik.sk,guessed,ok
508942,Priechod,Banská Bystrica,Banskobystrický kraj,981,https://www.priechod.sk,obec@priechod.sk,guessed,ok
508969,Riečka - Banská Bystrica,Banská Bystrica,Banskobystrický kraj,832,,,none,no_website
508977,Sebedín - Bečov,Banská Bystrica,Banskobystrický kraj,362,,,none,no_website
508985,Selce - Banská Bystrica,Banská Bystrica,Banskobystrický kraj,2131,,,none,no_website
509001,Slovenská Ľupča,Banská Bystrica,Banskobystrický kraj,3259,https://www.slovenskalupca.sk,sekretariat@slovenskalupca.sk,xls,ok
509035,Špania Dolina,Banská Bystrica,Banskobystrický kraj,217,https://www.spaniadolina.sk,spania.dolina@mail.t-com.sk,xls,ok
509019,Staré Hory,Banská Bystrica,Banskobystrický kraj,554,https://www.starehory.sk,oustarehory@stonline.sk,xls,ok
509027,Strelníky,Banská Bystrica,Banskobystrický kraj,780,https://www.strelniky.sk,urad@strelniky.sk,guessed,ok
509060,Tajov,Banská Bystrica,Banskobystrický kraj,661,https://www.obectajov.sk,obectajov@obectajov.sk,guessed,ok
557269,Turecká,Banská Bystrica,Banskobystrický kraj,151,https://www.obecturecka.sk,starosta@obecturecka.sk,guessed,ok
557293,Vlkanová,Banská Bystrica,Banskobystrický kraj,1319,https://www.vlkanova.sk,obec@vlkanova.sk,guessed,ok
516601,Baďan,Banská Štiavnica,Banskobystrický kraj,172,https://www.badan.sk,info@badan.sk,guessed,ok
516627,Banská Belá,Banská Štiavnica,Banskobystrický kraj,1183,https://www.banskabela.sk,ou-b.bela@mail.t-com.sk,xls,ok
516643,Banská Štiavnica,Banská Štiavnica,Banskobystrický kraj,9963,https://www.banska-stiavnica.sk,nadezda.babiakova@banskastiavnica.sk,guessed,ok
516651,Banský Studenec,Banská Štiavnica,Banskobystrický kraj,471,https://www.banskystudenec.sk,starosta@banskystudenec.sk,xls,ok
516678,Beluj,Banská Štiavnica,Banskobystrický kraj,136,https://obecbeluj.sk,starosta@obecbeluj.sk,guessed,ok
516716,Dekýš,Banská Štiavnica,Banskobystrický kraj,194,https://www.dekys.sk,starosta@dekys.sk,guessed,ok
516856,Ilija,Banská Štiavnica,Banskobystrický kraj,354,https://www.obecilija.sk,info@obecilija.sk,guessed,ok
516953,Kozelník,Banská Štiavnica,Banskobystrický kraj,162,https://kozelnik.sk,ocukozelnik@gmail.com,guessed,ok
517071,Močiar,Banská Štiavnica,Banskobystrický kraj,161,https://www.mociar.sk,alzbeta.kasiarova@sazp.sk,guessed,ok
517160,Počúvadlo,Banská Štiavnica,Banskobystrický kraj,95,,obec.pocuvadlo@gmail.com,none,no_website
517143,Podhorie - Banská Štiavnica,Banská Štiavnica,Banskobystrický kraj,326,,,none,no_website
517178,Prenčov,Banská Štiavnica,Banskobystrický kraj,652,https://www.prencov.sk,prencov@prencov.sk,guessed,ok
517283,Štiavnické Bane,Banská Štiavnica,Banskobystrický kraj,816,https://www.stiavnickebane.ocu.sk,oustbane@bsnet.sk,xls,ok
516597,Svätý Anton,Banská Štiavnica,Banskobystrický kraj,1212,https://www.svatyanton.sk,ocu@svatyanton.sk,xls,ok
517372,Vysoká - Banská Štiavnica,Banská Štiavnica,Banskobystrický kraj,142,,,none,no_website
519014,Abrahámovce - Bardejov,Bardejov,Prešovský kraj,342,https://www.abrahamovce.sk,obec@abrahamovce.sk,guessed,ok
519022,Andrejová,Bardejov,Prešovský kraj,370,https://andrejova.sk,info@proxis.sk,guessed,ok
519006,Bardejov,Bardejov,Prešovský kraj,32196,https://www.bardejov.sk,info@bardejov.sk,guessed,ok
519049,Bartošovce,Bardejov,Prešovský kraj,731,https://www.obecbartosovce.sk,info@webex.sk,guessed,ok
519057,Becherov,Bardejov,Prešovský kraj,287,https://www.obecbecherov.sk,sekretariat@obecbecherov.sk,guessed,ok
519065,Beloveža,Bardejov,Prešovský kraj,776,https://www.beloveza.eu,beloveza@gmail.com,xls,ok
519073,Bogliarka,Bardejov,Prešovský kraj,103,https://www.bogliarka.sk,obecbogliarka@gmail.com,guessed,ok
519081,Brezov,Bardejov,Prešovský kraj,369,https://brezov.sk,brezovobec@gmail.com,guessed,ok
519090,Brezovka,Bardejov,Prešovský kraj,111,https://www.brezovka.sk,obec.brezovka@centrum.sk,guessed,ok
519103,Buclovany,Bardejov,Prešovský kraj,202,https://www.buclovany.sk,admin@buclovany.sk,guessed,ok
519286,Chmeľová,Bardejov,Prešovský kraj,374,https://chmelova.sk,obec.chmelova@centrum.sk,guessed,ok
519111,Cigeľka,Bardejov,Prešovský kraj,610,https://www.obeccigelka.sk,obeccigelka@gmail.com,guessed,ok
519138,Dubinné,Bardejov,Prešovský kraj,349,https://www.dubinne.sk,obec@dubinne.sk,guessed,ok
519154,Frička,Bardejov,Prešovský kraj,341,https://fricka.sk,info@proxis.sk,guessed,ok
519162,Fričkovce,Bardejov,Prešovský kraj,733,https://www.frickovce.sk,frickovce@frickovce.sk,guessed,ok
519171,Gaboltov,Bardejov,Prešovský kraj,482,https://www.gaboltov.sk,obec@gaboltov.sk,guessed,ok
519189,Gerlachov - Bardejov,Bardejov,Prešovský kraj,1069,https://www.obecgerlachov.sk,dane@obecgerlachov.sk,guessed,ok
519201,Hankovce - Bardejov,Bardejov,Prešovský kraj,443,https://www.obechankovce.sk,podatelna@obechankovce.sk,guessed,ok
519219,Harhaj,Bardejov,Prešovský kraj,269,https://www.obec-harhaj.sk,info@webex.sk,guessed,ok
519227,Hažlín,Bardejov,Prešovský kraj,1095,https://www.obechazlin.sk,obechazlin@gmail.com,guessed,ok
519235,Hertník,Bardejov,Prešovský kraj,1039,https://obechertnik.sk,obechertnik@centrum.sk,guessed,ok
519243,Hervartov,Bardejov,Prešovský kraj,514,https://hervartov.sk,ocu.hervartov@gmail.com,guessed,ok
519251,Hrabovec,Bardejov,Prešovský kraj,513,https://www.obechrabovec.sk,starosta@obechrabovec.sk,guessed,ok
519260,Hrabské,Bardejov,Prešovský kraj,604,https://www.obechrabske.sk,admin@obechrabske.sk,guessed,ok
519278,Hutka,Bardejov,Prešovský kraj,98,https://obechutka.sk,hutka@post.sk,guessed,ok
519294,Janovce,Bardejov,Prešovský kraj,461,https://www.janovce.sk,starosta@janovce.sk,guessed,ok
519308,Jedlinka,Bardejov,Prešovský kraj,86,https://obecjedlinka.sk,obec.jedlinka@gmail.com,guessed,ok
519324,Kľušov,Bardejov,Prešovský kraj,1118,https://www.obecklusov.sk,jan.matej272@gmail.com,guessed,ok
519341,Kobyly,Bardejov,Prešovský kraj,864,https://www.kobyly.ocu.sk,obeckobyly@stonline.sk,xls,ok
519359,Kochanovce - Bardejov,Bardejov,Prešovský kraj,263,https://www.obeckochanovce.sk,,guessed,no_email
519367,Komárov,Bardejov,Prešovský kraj,446,https://www.obeckomarov.sk,komarovobec@gmail.com,guessed,ok
519375,Koprivnica,Bardejov,Prešovský kraj,664,https://www.koprivnica.sk,info@koprivnica.sk,guessed,ok
519383,Kožany,Bardejov,Prešovský kraj,103,,kozany@centrum.sk,none,no_website
519405,Krivé,Bardejov,Prešovský kraj,212,https://www.krive.estranky.sk,obeckrive@gmail.com,xls,ok
519413,Kríže,Bardejov,Prešovský kraj,63,https://www.obeckrize.sk,obeckrize@gmail.com,guessed,ok
519421,Kružlov,Bardejov,Prešovský kraj,1008,https://www.kruzlov.sk,starosta@kruzlov.sk,guessed,ok
519430,Kučín - Bardejov,Bardejov,Prešovský kraj,326,https://www.obeckucin.sk,obeckucin@gmail.com,guessed,ok
519456,Kurima,Bardejov,Prešovský kraj,1129,https://www.kurima.eu,oukurima@stonline.sk,xls,ok
519464,Kurov,Bardejov,Prešovský kraj,679,https://kurov.sk,tspkurov@gmail.com,guessed,ok
519472,Lascov,Bardejov,Prešovský kraj,577,https://www.obeclascov.sk,lascov.obec@gmail.com,guessed,ok
519481,Lenartov,Bardejov,Prešovský kraj,1172,https://lenartov.sk,starosta@lenartov.sk,guessed,ok
519499,Lipová - Bardejov,Bardejov,Prešovský kraj,76,,,none,no_website
519502,Livov,Bardejov,Prešovský kraj,69,http://livov.blgz.cz,obeclivov@gmail.com,xls,ok
519511,Livovská Huta,Bardejov,Prešovský kraj,43,,,none,no_website
519529,Lopúchov,Bardejov,Prešovský kraj,313,https://lopuchov.sk,oulopuchov@gmail.com,guessed,ok
519545,Lukavica - Bardejov,Bardejov,Prešovský kraj,374,https://www.obeclukavica.sk,podatelna@obeclukavica.sk,guessed,ok
519553,Lukov,Bardejov,Prešovský kraj,648,https://obeclukov.sk,obeclukov@gmail.com,guessed,ok
519570,Malcov,Bardejov,Prešovský kraj,1629,https://www.malcov.sk,starosta@malcov.sk,guessed,ok
519588,Marhaň,Bardejov,Prešovský kraj,964,https://www.obecmarhan.sk,starosta@obecmarhan.sk,guessed,ok
519600,Mikulášová,Bardejov,Prešovský kraj,126,https://www.mikulasova.sk,obecmikulasova@gmail.com,guessed,ok
519618,Mokroluh,Bardejov,Prešovský kraj,771,https://www.obecmokroluh.sk,obec@mokroluh.sk,guessed,ok
519626,Nemcovce - Bardejov,Bardejov,Prešovský kraj,263,https://obecnemcovce.sk,obecnemcovcepo@gmail.com,guessed,ok
519634,Nižná Polianka,Bardejov,Prešovský kraj,226,https://www.niznapolianka.ocu.sk,cundra.jan@post.sk,xls,ok
519642,Nižná Voľa,Bardejov,Prešovský kraj,282,https://www.niznavola.ou.sk,obecniznavola@centrum.sk,xls,ok
519669,Nižný Tvarožec,Bardejov,Prešovský kraj,542,https://www.niznytvarozec.ocu.sk,starosta@niznytvarozec.sk,xls,ok
519677,Oľšavce,Bardejov,Prešovský kraj,172,https://olsavce.sk,podatelna@olsavce.sk,guessed,ok
519685,Ondavka,Bardejov,Prešovský kraj,12,https://www.obecondavka.sk,,guessed,no_email
519693,Ortuťová,Bardejov,Prešovský kraj,195,https://www.ortutova.sk,starosta@ortutova.sk,guessed,ok
519707,Osikov,Bardejov,Prešovský kraj,980,https://www.obecosikov.sk,starosta@obecosikov.sk,guessed,ok
519715,Petrová,Bardejov,Prešovský kraj,920,https://obecpetrova.sk,petrova2@post.sk,guessed,ok
519723,Poliakovce,Bardejov,Prešovský kraj,382,https://www.poliakovce.sk,starosta@poliakovce.sk,guessed,ok
519731,Porúbka - Bardejov,Bardejov,Prešovský kraj,224,http://www.obecporubka.sk,,guessed,no_email
519936,Raslavice,Bardejov,Prešovský kraj,2810,https://www.raslavice.sk,info@raslavice.sk,guessed,ok
519740,Regetovka,Bardejov,Prešovský kraj,44,https://regetovka.sk,akcie@regetovka.sk,guessed,ok
519758,Rešov,Bardejov,Prešovský kraj,298,https://www.obecresov.sk,info@obecresov.sk,guessed,ok
519766,Richvald,Bardejov,Prešovský kraj,1001,https://www.richvald.sk,sekretariat@richvald.sk,guessed,ok
519774,Rokytov,Bardejov,Prešovský kraj,571,https://www.obecrokytov.sk,podatelna@obecrokytov.sk,guessed,ok
519847,Šarišské Čierne,Bardejov,Prešovský kraj,295,https://www.obecsarisskecierne.sk,buvalicandrej@gmail.com,xls,ok
519855,Šašová,Bardejov,Prešovský kraj,159,https://www.obecsasova.sk,podatelna@obecsasova.sk,guessed,ok
519863,Šiba,Bardejov,Prešovský kraj,634,https://obecsiba.sk,obecsiba@wmx.sk,guessed,ok
519782,Smilno,Bardejov,Prešovský kraj,695,https://www.obecsmilno.sk,sekretariat@obecsmilno.sk,guessed,ok
519791,Snakov,Bardejov,Prešovský kraj,682,https://www.snakov.sk,info@webex.sk,guessed,ok
519804,Stebnícka Huta,Bardejov,Prešovský kraj,223,https://www.stebnickahuta.sk,ludmilasosnakova@centrum.sk,xls,ok
519812,Stebník,Bardejov,Prešovský kraj,304,https://stebnik.sk,stebnik@stebnik.sk,guessed,ok
519821,Stuľany,Bardejov,Prešovský kraj,557,https://www.obecstulany.sk,info@obecstulany.sk,guessed,ok
519839,Sveržov,Bardejov,Prešovský kraj,620,https://sverzov.sk,podatelna@sverzov.sk,guessed,ok
519871,Tarnov,Bardejov,Prešovský kraj,407,https://obectarnov.sk,info@obectarnov.sk,guessed,ok
519880,Tročany,Bardejov,Prešovský kraj,296,http://trocany.page.tl,obectrocany@gmail.com,xls,ok
518964,Vaniškovce,Bardejov,Prešovský kraj,369,https://www.obecvaniskovce.sk,vaniskovce.obec@gmail.com,guessed,ok
519901,Varadka,Bardejov,Prešovský kraj,235,https://www.varadka.sk,info@varadka.sk,guessed,ok
519910,Vyšná Polianka,Bardejov,Prešovský kraj,109,https://www.vysnapolianka.ocu.sk,spiklubos@azet.sk,xls,ok
519928,Vyšná Voľa,Bardejov,Prešovský kraj,391,,obecvysnavola@stonline.sk,none,no_website
519944,Vyšný Kručov,Bardejov,Prešovský kraj,154,,vysnykrucov@pobox.sk,none,no_website
519952,Vyšný Tvarožec,Bardejov,Prešovský kraj,122,https://www.vysnytvarozec.sk,starosta@vysnytvarozec.sk,xls,ok
519961,Zborov,Bardejov,Prešovský kraj,3585,https://www.zborov.sk,info@zborov.sk,guessed,ok
519979,Zlaté,Bardejov,Prešovský kraj,775,https://www.obeczlate.sk,sekretariat@obeczlate.sk,guessed,ok
528595,Bratislava - Staré Mesto,Bratislava I,Bratislavský kraj,42220,,,none,no_website
529311,Bratislava - Podunajské Biskupice,Bratislava II,Bratislavský kraj,22193,,,none,no_website
529320,Bratislava - Ružinov,Bratislava II,Bratislavský kraj,74140,,,none,no_website
529338,Bratislava - Vrakuňa,Bratislava II,Bratislavský kraj,20114,https://bratislava-vrakuna.sk,,guessed,no_email
529346,Bratislava - Nové Mesto,Bratislava III,Bratislavský kraj,39932,,,none,no_website
529354,Bratislava - Rača,Bratislava III,Bratislavský kraj,24162,,,none,no_website
529362,Bratislava - Vajnory,Bratislava III,Bratislavský kraj,5967,,,none,no_website
529401,Bratislava - Devín,Bratislava IV,Bratislavský kraj,1707,,,none,no_website
529371,Bratislava - Devínska Nová Ves,Bratislava IV,Bratislavský kraj,15794,,,none,no_website
529389,Bratislava - Dúbravka,Bratislava IV,Bratislavský kraj,33703,,,none,no_website
529397,Bratislava - Karlova Ves,Bratislava IV,Bratislavský kraj,33289,,,none,no_website
529419,Bratislava - Lamač,Bratislava IV,Bratislavský kraj,7385,,,none,no_website
529427,Bratislava - Záhorská Bystrica,Bratislava IV,Bratislavský kraj,6221,,,none,no_website
529435,Bratislava - Čunovo,Bratislava V,Bratislavský kraj,1545,,,none,no_website
529443,Bratislava - Jarovce,Bratislava V,Bratislavský kraj,2540,,,none,no_website
529460,Bratislava - Petržalka,Bratislava V,Bratislavský kraj,104275,,,none,no_website
529494,Bratislava - Rusovce,Bratislava V,Bratislavský kraj,4154,https://www.bratislava-rusovce.sk,,guessed,no_email
508446,Bacúch,Brezno,Banskobystrický kraj,905,https://bacuch.sk,podatelna@bacuch.sk,guessed,ok
508462,Beňuš,Brezno,Banskobystrický kraj,1174,https://www.benus.sk,obec@benus.sk,guessed,ok
508489,Braväcovo,Brezno,Banskobystrický kraj,688,https://www.bravacovo.sk,info@bravacovo.sk,guessed,ok
508497,Brezno,Brezno,Banskobystrický kraj,20813,https://www.brezno.sk,podatelna@brezno.sk,guessed,ok
557251,Bystrá - Brezno,Brezno,Banskobystrický kraj,179,,,none,no_website
508527,Čierny Balog,Brezno,Banskobystrický kraj,5103,https://www.ciernybalog.sk,ciernybalog@ciernybalog.sk,xls,ok
508535,Dolná Lehota,Brezno,Banskobystrický kraj,716,https://www.dolnalehota.wbl.sk,dolnalehota@zoznam.sk,xls,ok
508578,Drábsko,Brezno,Banskobystrický kraj,188,https://obecdrabsko.sk,obecdrabsko@gmail.com,guessed,ok
508608,Heľpa,Brezno,Banskobystrický kraj,2524,https://www.helpa.sk,podatelna@helpa.sk,guessed,ok
508624,Horná Lehota - Brezno,Brezno,Banskobystrický kraj,602,,,none,no_website
508667,Hronec,Brezno,Banskobystrický kraj,1192,https://www.hronecobec.sk,starostahronec@stonline.sk,xls,ok
508691,Jarabá,Brezno,Banskobystrický kraj,42,https://www.jaraba.sk,obecnyurad@jaraba.sk,guessed,ok
508705,Jasenie,Brezno,Banskobystrický kraj,1171,https://www.jasenie.sk,obec@jasenie.sk,guessed,ok
508730,Lom nad Rimavicou,Brezno,Banskobystrický kraj,245,https://www.lomnadrimavicou.ocu.sk,lom.nad.rimavicou.obec@zoznam.sk,xls,ok
508772,Michalová,Brezno,Banskobystrický kraj,1350,https://www.michalova.sk,ivana.veverkova@michalova.sk,guessed,ok
508811,Mýto pod Ďumbierom,Brezno,Banskobystrický kraj,529,https://www.mytopoddumbierom.sk,ou@mytopoddumbierom.sk,xls,ok
508829,Nemecká,Brezno,Banskobystrický kraj,1778,https://www.nemecka.sk,murin@nemecka.sk,xls,ok
508845,Osrblie,Brezno,Banskobystrický kraj,369,https://www.osrblie.sk,obec@osrblie.sk,guessed,ok
508853,Podbrezová,Brezno,Banskobystrický kraj,3796,https://www.podbrezova.sk,starosta@podbrezova.sk,guessed,ok
508870,Pohorelá,Brezno,Banskobystrický kraj,2145,https://www.pohorela.sk,obec@pohorela.sk,guessed,ok
508888,Pohronská Polhora,Brezno,Banskobystrický kraj,1720,https://www.ppolhora.sk,ppolhora@ppolhora.sk,xls,ok
508900,Polomka,Brezno,Banskobystrický kraj,2962,https://www.polomka.sk,sekretariat@polomka.sk,guessed,ok
508934,Predajná,Brezno,Banskobystrický kraj,1311,https://www.obecpredajna.sk,zspredajna@gmail.com,guessed,ok
508951,Ráztoka,Brezno,Banskobystrický kraj,272,https://www.raztoka.sk,raztoka@slovanet.sk,guessed,ok
508993,Sihla,Brezno,Banskobystrický kraj,191,https://www.sihla.sk,starosta@sihla.sk,guessed,ok
509043,Šumiac,Brezno,Banskobystrický kraj,1268,https://www.sumiac.sk,obecnyurad@sumiac.sk,guessed,ok
509051,Telgárt,Brezno,Banskobystrický kraj,1518,https://www.obectelgart.sk,info@obectelgart.sk,guessed,ok
509086,Valaská,Brezno,Banskobystrický kraj,3605,https://www.valaska.sk,podatelna@valaska.sk,guessed,ok
509094,Vaľkovňa,Brezno,Banskobystrický kraj,439,https://www.valkovna.sk,obecvalkovna@valkovna.sk,guessed,ok
